city,date_from,date_to,pattern,state,status,territory_id,url
Abel Figueiredo,,,adiarios_v1,PA,invalido,1500131,https://abelfigueiredo.pa.gov.br/site/
Abreulândia,,,adiarios_v1,TO,invalido,1700251,https://www.abreulandia.to.gov.br/diariooficial.php
Acari,,,adiarios_v1,RN,invalido,2400109,https://www.acari.rn.gov.br/error/404
Água Doce do Maranhão,,,adiarios_v1,MA,invalido,2100154,https://www.aguadocedomaranhao.ma.gov.br/diariooficial.php
Água Doce do Maranhão,,,adiarios_v1,MA,invalido,2100154,http://www.aguadocedomaranhao.ma.gov.br/diariooficial.php
Águas de Chapecó,,,adiarios_v1,SC,invalido,4200507,https://www.chapeco.sc.gov.br/diariooficial.php
Águas da Prata,,,adiarios_v1,SP,invalido,3500402,https://www.aguasdaprata.sp.gov.br/
Águas de Chapecó,,,adiarios_v1,SC,invalido,4200507,https://www.aguas.sc.gov.br/diariooficial.php
Águas Frias,,,adiarios_v1,SC,invalido,4200556,https://www.aguas.sc.gov.br/diariooficial.php
Águas Mornas,,,adiarios_v1,SC,invalido,4200606,https://www.aguas.sc.gov.br/diariooficial.php
Aguiarnópolis,,,adiarios_v1,TO,invalido,1700301,https://www.aguiarnopolis.to.gov.br/ops/404
Alagoinha do Piauí,,,adiarios_v1,PI,invalido,2200251,https://transparencia.alagoinha.pi.gov.br/alagoinha
Alecrim,,,adiarios_v1,RS,invalido,4300307,http://www.alecrim.rs.gov.br/error
Alecrim,,,adiarios_v1,RS,invalido,4300307,https://www.alecrim.rs.gov.br/error
Alegre,,,adiarios_v1,ES,invalido,3200201,https://www.alegre.es.gov.br/diariooficial.php
Alegria,,,adiarios_v1,RS,invalido,4300455,http://www.pmalegria.rs.gov.br/error
Alegria,,,adiarios_v1,RS,invalido,4300455,https://www.pmalegria.rs.gov.br/error
Alegrete do Piauí,,,adiarios_v1,PI,invalido,2200277,https://alegretedopiaui.pi.gov.br/alegretedopiaui/portalnoticias
Alfenas,,,adiarios_v1,MG,invalido,3101607,https://www.alfenas.mg.gov.br/pagina-nao-encontrada
Alfredo Marcondes,,,adiarios_v1,SP,invalido,3500808,https://www.alfredomarcondes.sp.gov.br/diariooficial.php
Alhandra,,,adiarios_v1,PB,invalido,2500601,https://www.alhandra.pb.gov.br/diariooficial.php
Almas,,,adiarios_v1,TO,invalido,1700400,https://www.almas.to.gov.br/diariooficial.php
Aliança,,,adiarios_v1,PE,invalido,2600708,https://www.alianca.pe.gov.br/error/404
Almenara,,,adiarios_v1,MG,invalido,3101706,https://www.almenara.mg.gov.br/diariooficial.php
Almenara,,,adiarios_v1,MG,invalido,3101706,http://www.almenara.mg.gov.br/diariooficial.php
Almirante Tamandaré do Sul,,,adiarios_v1,RS,invalido,4300471,https://almirantetamandaredosul.rs.gov.br/diariooficial.php
Alta Floresta,,,adiarios_v1,MT,invalido,5100250,https://www.altafloresta.mt.gov.br/diariooficial.php
Altaneira,,,adiarios_v1,CE,invalido,2300606,https://www.altaneira.ce.gov.br/diariooficial.php
Alto Araguaia,,,adiarios_v1,MT,invalido,5100300,https://www.altoaraguaia.mt.gov.br/diariooficial.php
Alto Garças,,,adiarios_v1,MT,invalido,5100409,https://www.altogarcas.mt.gov.br/diariooficial.php
Alto Paraguai,,,adiarios_v1,MT,invalido,5100508,https://www.altoparaguai.mt.gov.br/diariooficial.php
Alto Jequitibá,,,adiarios_v1,MG,invalido,3153509,https://www.jequitiba.mg.gov.br/Default19.aspx
Alto Rio Doce,,,adiarios_v1,MG,invalido,3102100,https://www.altoriodoce.mg.gov.br/diariooficial.php
Álvares Machado,,,adiarios_v1,SP,invalido,3501301,https://www.alvaresmachado.sp.gov.br/diariooficial.php
América Dourada,,,adiarios_v1,BA,invalido,2901155,https://www.americadourada.ba.gov.br/erro/404
Ametista do Sul,,,adiarios_v1,RS,invalido,4300646,http://www.ametistadosul.rs.gov.br/diariooficial.php
Ametista do Sul,,,adiarios_v1,RS,invalido,4300646,https://www.ametistadosul.rs.gov.br/diariooficial.php
Anahy,,,adiarios_v1,PR,invalido,4101051,https://anahy.atende.net/cidadao
Ananás,,,adiarios_v1,TO,invalido,1701002,https://www.ananas.to.gov.br/ops/404
Anastácio,,,adiarios_v1,MS,invalido,5000708,http://www.anastacio.ms.gov.br/diariooficial.php
