city,date_from,date_to,pattern,state,status,territory_id,url
Abaíra,,,doem,BA,invalido,2900108,http://doem.org.br/ba/abaira/diarios
Abaíra,,,doem,BA,invalido,2900108,https://doem.org.br/ba/abaira/diarios
Abaré,,,doem,BA,invalido,2900207,http://doem.org.br/ba/abare/diarios
Abaré,,,doem,BA,invalido,2900207,https://doem.org.br/ba/abare/diarios
Adustina,,,doem,BA,invalido,2900355,http://doem.org.br/ba/adustina/diarios
Adustina,,,doem,BA,invalido,2900355,https://doem.org.br/ba/adustina/diarios
Água Fria,,,doem,BA,invalido,2900405,https://doem.org.br/ba/aguafria/diarios
Água Fria,,,doem,BA,invalido,2900405,http://doem.org.br/ba/aguafria/diarios
Aiquara,,,doem,BA,invalido,2900603,http://doem.org.br/ba/aiquara/diarios
Aiquara,,,doem,BA,invalido,2900603,https://doem.org.br/ba/aiquara/diarios
Almadina,,,doem,BA,invalido,2900900,https://doem.org.br/ba/almadina/diarios
Almadina,,,doem,BA,invalido,2900900,http://doem.org.br/ba/almadina/diarios
Amargosa,,,doem,BA,invalido,2901007,https://doem.org.br/ba/amargosa/diarios
Amargosa,,,doem,BA,invalido,2901007,http://doem.org.br/ba/amargosa/diarios
Amélia Rodrigues,,,doem,BA,invalido,2901106,https://doem.org.br/ba/ameliarodrigues/diarios
Amélia Rodrigues,,,doem,BA,invalido,2901106,http://doem.org.br/ba/ameliarodrigues/diarios
América Dourada,,,doem,BA,invalido,2901155,http://doem.org.br/ba/americadourada/diarios
América Dourada,,,doem,BA,invalido,2901155,https://doem.org.br/ba/americadourada/diarios
Anagé,,,doem,BA,invalido,2901205,http://doem.org.br/ba/anage/diarios
Anagé,,,doem,BA,invalido,2901205,https://doem.org.br/ba/anage/diarios
Andaraí,,,doem,BA,invalido,2901304,http://doem.org.br/ba/andarai/diarios
Andaraí,,,doem,BA,invalido,2901304,https://doem.org.br/ba/andarai/diarios
Andorinha,,,doem,BA,invalido,2901353,https://doem.org.br/ba/andorinha/diarios
Andorinha,,,doem,BA,invalido,2901353,http://doem.org.br/ba/andorinha/diarios
Anguera,,,doem,BA,invalido,2901502,http://doem.org.br/ba/anguera/diarios
Anguera,,,doem,BA,invalido,2901502,https://doem.org.br/ba/anguera/diarios
Antas,,,doem,BA,invalido,2901601,http://doem.org.br/ba/antas/diarios
Antas,,,doem,BA,invalido,2901601,https://doem.org.br/ba/antas/diarios
Antônio Gonçalves,,,doem,BA,invalido,2901809,http://doem.org.br/ba/antoniogoncalves/diarios
Antônio Gonçalves,,,doem,BA,invalido,2901809,https://doem.org.br/ba/antoniogoncalves/diarios
Aporá,,,doem,BA,invalido,2901908,http://doem.org.br/ba/apora/diarios
Aporá,,,doem,BA,invalido,2901908,https://doem.org.br/ba/apora/diarios
Apuarema,,,doem,BA,invalido,2901957,https://doem.org.br/ba/apuarema/diarios
Apuarema,,,doem,BA,invalido,2901957,http://doem.org.br/ba/apuarema/diarios
Araças,,,doem,BA,invalido,2902054,https://doem.org.br/ba/aracas/diarios
Araças,,,doem,BA,invalido,2902054,http://doem.org.br/ba/aracas/diarios
Araci,,,doem,BA,invalido,2902104,http://doem.org.br/ba/araci/diarios
Araci,,,doem,BA,invalido,2902104,https://doem.org.br/ba/araci/diarios
Aramari,,,doem,BA,invalido,2902203,https://doem.org.br/ba/aramari/diarios
