city,date_from,date_to,pattern,state,status,territory_id,url
Abreulândia,,,adiariosv1,TO,invalido,1700251,https://www.abreulandia.to.gov.br/diariooficial.php
Acari,,,adiariosv1,RN,invalido,2400109,https://www.acari.rn.gov.br/error/404
Água Doce do Maranhão,,,adiariosv1,MA,invalido,2100154,http://www.aguadocedomaranhao.ma.gov.br/diariooficial.php
Água Doce do Maranhão,,,adiariosv1,MA,invalido,2100154,https://www.aguadocedomaranhao.ma.gov.br/diariooficial.php
Águas de Chapecó,,,adiariosv1,SC,invalido,4200507,https://www.aguas.sc.gov.br/diariooficial.php
Águas de Chapecó,,,adiariosv1,SC,invalido,4200507,https://www.chapeco.sc.gov.br/diariooficial.php
Águas Frias,,,adiariosv1,SC,invalido,4200556,https://www.aguas.sc.gov.br/diariooficial.php
Águas Mornas,,,adiariosv1,SC,invalido,4200606,https://www.aguas.sc.gov.br/diariooficial.php
Alegre,,,adiariosv1,ES,invalido,3200201,https://www.alegre.es.gov.br/diariooficial.php
Alfredo Marcondes,,,adiariosv1,SP,invalido,3500808,https://www.alfredomarcondes.sp.gov.br/diariooficial.php
Alhandra,,,adiariosv1,PB,invalido,2500601,https://www.alhandra.pb.gov.br/diariooficial.php
Alta Floresta,,,adiariosv1,MT,invalido,5100250,https://www.altafloresta.mt.gov.br/diariooficial.php
Alto Araguaia,,,adiariosv1,MT,invalido,5100300,https://www.altoaraguaia.mt.gov.br/diariooficial.php
Alto Garças,,,adiariosv1,MT,invalido,5100409,https://www.altogarcas.mt.gov.br/diariooficial.php
Alto Paraguai,,,adiariosv1,MT,invalido,5100508,https://www.altoparaguai.mt.gov.br/diariooficial.php
Álvares Machado,,,adiariosv1,SP,invalido,3501301,https://www.alvaresmachado.sp.gov.br/diariooficial.php
Ametista do Sul,,,adiariosv1,RS,invalido,4300646,https://www.ametistadosul.rs.gov.br/diariooficial.php
Ametista do Sul,,,adiariosv1,RS,invalido,4300646,http://www.ametistadosul.rs.gov.br/diariooficial.php
Amparo,,,adiariosv1,PB,invalido,2500734,https://www.amparo.pb.gov.br/diariooficial.php
Amparo,,,adiariosv1,PB,invalido,2500734,http://www.amparo.pb.gov.br/diariooficial.php
Anastácio,,,adiariosv1,MS,invalido,5000708,http://www.anastacio.ms.gov.br/diariooficial.php
Anastácio,,,adiariosv1,MS,invalido,5000708,https://www.anastacio.ms.gov.br/diariooficial.php
Anhumas,,,adiariosv1,SP,invalido,3502408,https://www.anhumas.sp.gov.br/diariooficial.php
Aparecida do Rio Negro,,,adiariosv1,TO,invalido,1701101,https://www.aparecidadorionegro.to.gov.br/diariooficial.php
Aperibé,,,adiariosv1,RJ,invalido,3300159,http://www.aperibe.rj.gov.br/diariooficial.php
Apiacá,,,adiariosv1,ES,invalido,3200508,https://www.apiaca.es.gov.br/diariooficial.php
Aperibé,,,adiariosv1,RJ,invalido,3300159,https://www.aperibe.rj.gov.br/diariooficial.php
Apiacás,,,adiariosv1,MT,invalido,5100805,https://www.apiacas.mt.gov.br/diariooficial.php
Araçagi,,,adiariosv1,PB,invalido,2500809,https://www.aracagi.pb.gov.br/error/404
Aracaju,,,adiariosv1,SE,invalido,2800308,http://www.aracaju.se.gov.br/diariooficial.php
Aracaju,,,adiariosv1,SE,invalido,2800308,https://www.aracaju.se.gov.br/diariooficial.php
Araguari,,,adiariosv1,MG,invalido,3103504,https://www.araguari.mg.gov.br/diariooficial.php
Arantina,,,adiariosv1,MG,invalido,3103603,https://www.arantina.mg.gov.br/diariooficial.php
Araputanga,,,adiariosv1,MT,invalido,5101258,https://www.araputanga.mt.gov.br/diariooficial.php
Arcos,,,adiariosv1,MG,invalido,3104205,https://www.arcos.mg.gov.br/diariooficial.php
Ariranha do Ivaí,,,adiariosv1,PR,invalido,4101853,https://www.ariranhadoivai.pr.gov.br/diariooficial.php
Arneiroz,,,adiariosv1,CE,invalido,2301505,https://www.arneiroz.ce.gov.br/diariooficial.php
Arroio do Tigre,,,adiariosv1,RS,invalido,4301206,http://www.arroiodotigre.rs.gov.br/site/
Arroio do Tigre,,,adiariosv1,RS,invalido,4301206,http://www.arroiodotigre.rs.gov.br/site/
Assaí,,,adiariosv1,PR,invalido,4101903,https://www.assai.pr.gov.br/diariooficial.php
Assis,,,adiariosv1,SP,invalido,3504008,https://www.assis.sp.gov.br/diariooficial.php
Assunção do Piauí,,,adiariosv1,PI,invalido,2201051,https://www.assuncaodopiaui.pi.gov.br/diariooficial.php
Assunção do Piauí,,,adiariosv1,PI,invalido,2201051,http://www.assuncaodopiaui.pi.gov.br/diariooficial.php
Áurea,,,adiariosv1,RS,invalido,4301552,https://www.aurea.rs.gov.br/diariooficial.php
Bacabal,,,adiariosv1,MA,invalido,2101202,https://www.bacabal.ma.gov.br/diariooficial.php
Baía da Traição,,,adiariosv1,PB,invalido,2501401,https://www.baiadatraicao.pb.gov.br/error/404
Balneário Gaivota,,,adiariosv1,SC,invalido,4202073,http://www.balneariogaivota.sc.gov.br/diariooficial.php
Balneário Gaivota,,,adiariosv1,SC,invalido,4202073,https://www.balneariogaivota.sc.gov.br/diariooficial.php
Barbacena,,,adiariosv1,MG,invalido,3105608,https://www.barbacena.mg.gov.br/diariooficial.php
Barra de Santa Rosa,,,adiariosv1,PB,invalido,2501609,https://www.barradesantarosa.pb.gov.br/error/404
Barra do Bugres,,,adiariosv1,MT,invalido,5101704,https://www.barradobugres.mt.gov.br/diariooficial.php
Barra de São Miguel,,,adiariosv1,PB,invalido,2501708,https://www.barradesaomiguel.pb.gov.br/error/404
Barra do Garças,,,adiariosv1,MT,invalido,5101803,https://www.barradogarcas.mt.gov.br/diariooficial.php
Bebedouro,,,adiariosv1,SP,invalido,3506102,http://www.bebedouro.sp.gov.br/diariooficial.php
Bebedouro,,,adiariosv1,SP,invalido,3506102,https://www.bebedouro.sp.gov.br/diariooficial.php
Belém,,,adiariosv1,PB,invalido,2501906,https://www.belem.pb.gov.br/error/404
Belém do Brejo do Cruz,,,adiariosv1,PB,invalido,2502003,https://www.belem.pb.gov.br/error/404
Beneditinos,,,adiariosv1,PI,invalido,2201606,https://www.beneditinos.pi.gov.br/diariooficial.php
Beneditinos,,,adiariosv1,PI,invalido,2201606,http://www.beneditinos.pi.gov.br/diariooficial.php
Benedito Leite,,,adiariosv1,MA,invalido,2101806,https://www.beneditoleite.ma.gov.br/diariooficial.php
Benedito Leite,,,adiariosv1,MA,invalido,2101806,http://www.beneditoleite.ma.gov.br/diariooficial.php
Bernardino Batista,,,adiariosv1,PB,invalido,2502052,https://www.bernardinobatista.pb.gov.br/error/404
Bertioga,,,adiariosv1,SP,invalido,3506359,https://www.bertioga.sp.gov.br/diariooficial.php
Blumenau,,,adiariosv1,SC,invalido,4202404,https://www.blumenau.sc.gov.br/diariooficial.php
Boa Vista,,,adiariosv1,PB,invalido,2502151,https://www.boavista.pb.gov.br/error/404
Bodocó,,,adiariosv1,PE,invalido,2602001,https://www.bodoco.pe.gov.br/diariooficial.php
Bom Jesus da Lapa,,,adiariosv1,BA,invalido,2903904,https://www.bomjesusdalapa.ba.gov.br/diariooficial.php
Bom Jesus das Selvas,,,adiariosv1,MA,invalido,2102036,http://www.bomjesusdasselvas.ma.gov.br/diariooficial.php
Bom Jesus das Selvas,,,adiariosv1,MA,invalido,2102036,https://www.bomjesusdasselvas.ma.gov.br/diariooficial.php
Boqueirão,,,adiariosv1,PB,invalido,2502508,https://www.boqueirao.pb.gov.br/error/404
Botucatu,,,adiariosv1,SP,invalido,3507506,http://www.botucatu.sp.gov.br/diariooficial.php
Botucatu,,,adiariosv1,SP,invalido,3507506,https://www.botucatu.sp.gov.br/diariooficial.php
Botuporã,,,adiariosv1,BA,invalido,2904209,https://www.botupora.ba.gov.br/diariooficial.php
