city,date_from,date_to,pattern,state,status,territory_id,url
Alagoa Grande,2024-06-20,2025-01-27,adiariosv1,PB,valido,2500304,https://www.alagoagrande.pb.gov.br/diariooficial.php
Alagoa Nova,0025-01-03,2025-02-07,adiariosv1,PB,valido,2500403,https://www.alagoanova.pb.gov.br/diariooficial.php
Anajatuba,2021-02-12,2025-02-07,adiariosv1,MA,valido,2100709,https://www.anajatuba.ma.gov.br/diariooficial.php
Arame,2017-02-10,2025-02-05,adiariosv1,MA,valido,2100956,https://www.arame.ma.gov.br/diariooficial.php
Aurora,2021-08-02,2025-02-07,adiariosv1,CE,valido,2301703,https://www.aurora.ce.gov.br/diariooficial.php
Axixá do Tocantins,2021-08-16,2025-02-04,adiariosv1,TO,valido,1702901,https://www.axixa.to.gov.br/diariooficial.php
Bacuri,2024-02-23,2025-02-06,adiariosv1,MA,valido,2101301,https://www.bacuri.ma.gov.br/diariooficial.php
Balsas,2017-01-12,2025-02-06,adiariosv1,MA,valido,2101400,https://www.balsas.ma.gov.br/diariooficial.php
Bom Jardim,2017-07-19,2025-02-07,adiariosv1,MA,valido,2102002,https://www.bomjardim.ma.gov.br/diariooficial.php
Bom Jesus,0014-02-10,2025-01-28,adiariosv1,PB,valido,2502201,https://www.prefeiturabomjesus.pb.gov.br/diariooficial.php
Bom Lugar,2013-01-13,2025-02-07,adiariosv1,MA,valido,2102077,https://www.bomlugar.ma.gov.br/diariooficial.php
Borborema,2013-03-31,2025-02-07,adiariosv1,PB,valido,2502706,https://www.borborema.pb.gov.br/diariooficial.php
Buriticupu,2018-05-07,2025-02-07,adiariosv1,MA,valido,2102325,https://www.buriticupu.ma.gov.br/diariooficial.php
Cachoeira dos Índios,0202-08-23,2025-02-05,adiariosv1,PB,valido,2503308,https://www.cachoeiradosindios.pb.gov.br/diariooficial.php
Cacimba de Dentro,0024-12-06,2025-01-13,adiariosv1,PB,valido,2503506,https://www.cacimbadedentro.pb.gov.br/diariooficial.php
Caiçara do Rio do Vento,2023-03-22,2023-05-02,adiariosv1,RN,valido,2401909,https://www.caicaradoriodovento.rn.gov.br/diariooficial.php
Cajazeiras,2017-02-02,2025-01-20,adiariosv1,PB,valido,2503704,https://www.cajazeiras.pb.gov.br/diariooficial.php
Cajazeirinhas,2024-02-06,2025-02-07,adiariosv1,PB,valido,2503753,https://www.cajazeirinhas.pb.gov.br/diariooficial.php
Campo Redondo,2024-06-17,2024-07-23,adiariosv1,RN,valido,2402105,https://www.camporedondo.rn.gov.br/diariooficial.php
Canindé,2017-08-03,2025-02-07,adiariosv1,CE,valido,2302800,https://www.caninde.ce.gov.br/diariooficial.php
Cantanhede,2009-01-05,2025-02-06,adiariosv1,MA,valido,2102705,https://www.cantanhede.ma.gov.br/diariooficial.php
Capim,2020-08-18,2025-02-07,adiariosv1,PB,valido,2504033,https://www.capim.pb.gov.br/diariooficial.php
Caririaçu,2018-01-23,2025-02-07,adiariosv1,CE,valido,2303204,https://www.caririacu.ce.gov.br/diariooficial.php
Carnaubais,2017-01-05,2025-02-07,adiariosv1,RN,valido,2402501,https://www.carnaubais.rn.gov.br/diariooficial.php
Carnaubal,2016-05-10,2025-02-04,adiariosv1,CE,valido,2303402,https://www.carnaubal.ce.gov.br/diariooficial.php
Carolina,2024-04-17,2024-07-01,adiariosv1,MA,valido,2102804,https://www.carolina.ma.gov.br/diariooficial.php
Caucaia,2002-06-03,2025-02-07,adiariosv1,CE,valido,2303709,https://www.caucaia.ce.gov.br/diariooficial.php
