city,date_from,date_to,pattern,state,status,territory_id,url
Abreulândia,,,adiariosv2,TO,invalido,1700251,http://www.transparencia.abreulandia.to.gov.br/jornal.php
Abreulândia,,,adiariosv2,TO,invalido,1700251,https://www.transparencia.abreulandia.to.gov.br/jornal.php
Água Branca,,,adiariosv2,AL,invalido,2700102,http://portal.aguabranca.al.gov.br
Água Branca,,,adiariosv2,AL,invalido,2700102,https://portal.aguabranca.al.gov.br
Alfredo Marcondes,,,adiariosv2,SP,invalido,3500808,http://portal.alfredomarcondes.sp.gov.br/jornal.php
Alfredo Marcondes,,,adiariosv2,SP,invalido,3500808,https://portal.alfredomarcondes.sp.gov.br/jornal.php
Alvorada do Gurguéia,,,adiariosv2,PI,invalido,2200459,http://www.transparencia.alvoradadogurgueia.pi.gov.br/jornal.php
Anastácio,,,adiariosv2,MS,invalido,5000708,http://www.transparencia.anastacio.ms.gov.br/jornal.php
Anastácio,,,adiariosv2,MS,invalido,5000708,https://www.transparencia.anastacio.ms.gov.br/jornal.php
Araguaína,,,adiariosv2,TO,invalido,1702109,https://portal.araguaina.to.gov.br/jornal.php
Arapoti,,,adiariosv2,PR,invalido,4101606,http://transparencia.arapoti.pr.gov.br/portal/
Araripe,,,adiariosv2,CE,invalido,2301307,https://araripe.aexecutivo.com.br/jornal.php
Arraial,,,adiariosv2,PI,invalido,2201002,https://arraial.aexecutivo.com.br/jornal.php
Arraial do Cabo,,,adiariosv2,RJ,invalido,3300258,https://arraial.aexecutivo.com.br/jornal.php
Barão de Grajaú,,,adiariosv2,MA,invalido,2101509,https://baraodegrajau.aexecutivo.com.br/jornal.php
Brejo dos Santos,,,adiariosv2,PB,invalido,2502904,http://www.transparencia.brejodossantos.pb.gov.br/jornal.php
Brejo dos Santos,,,adiariosv2,PB,invalido,2502904,https://www.transparencia.brejodossantos.pb.gov.br/jornal.php
Cabo Frio,,,adiariosv2,RJ,invalido,3300704,https://www.transparencia.cabofrio.rj.gov.br/jornal.php
Caetité,,,adiariosv2,BA,invalido,2905206,http://www.transparencia.caetite.ba.gov.br/jornal.php
Campestre,,,adiariosv2,AL,invalido,2701357,http://portal.campestre.al.gov.br
Campestre,,,adiariosv2,AL,invalido,2701357,https://portal.campestre.al.gov.br
Capela,,,adiariosv2,AL,invalido,2701704,http://portal.capela.al.gov.br
Capela,,,adiariosv2,AL,invalido,2701704,https://portal.capela.al.gov.br
Carneiros,,,adiariosv2,AL,invalido,2701803,https://portal.carneiros.al.gov.br
Conceição do Coité,,,adiariosv2,BA,invalido,2908408,https://conceicaodocoite.aexecutivo.com.br/jornal.php
Contagem,,,adiariosv2,MG,invalido,3118601,https://portal.contagem.mg.gov.br/jornal.php
Craíbas,,,adiariosv2,AL,invalido,2702355,http://portal.craibas.al.gov.br
Craíbas,,,adiariosv2,AL,invalido,2702355,https://portal.craibas.al.gov.br
Cristalândia,,,adiariosv2,TO,invalido,1706100,http://www.transparencia.cristalandia.to.gov.br/jornal.php
Cristalândia,,,adiariosv2,TO,invalido,1706100,https://www.transparencia.cristalandia.to.gov.br/jornal.php
Curitiba,,,adiariosv2,PR,invalido,4106902,http://www.transparencia.curitiba.pr.gov.br/jornal.php
Curitiba,,,adiariosv2,PR,invalido,4106902,https://www.transparencia.curitiba.pr.gov.br/jornal.php
