city,date_from,date_to,pattern,state,status,territory_id,url
Armação dos Búzios,2015-09-03,2025-02-07,adiariosv2,RJ,valido,3300233,https://portal.buzios.rj.gov.br/jornal.php
Armação dos Búzios,2015-09-03,2025-02-07,adiariosv2,RJ,valido,3300233,https://buzios.aexecutivo.com.br/jornal.php
Casimiro de Abreu,2017-01-04,2025-02-07,adiariosv2,RJ,valido,3301306,https://www.transparencia.casimirodeabreu.rj.gov.br/jornal.php
Cordeiro,2017-10-05,2025-02-07,adiariosv2,RJ,valido,3301504,https://www.transparencia.cordeiro.rj.gov.br/jornal.php
Quatis,2013-02-15,2023-11-21,adiariosv2,RJ,valido,3304128,https://quatis.aexecutivo.com.br/jornal.php
Quatis,2013-02-15,2023-11-21,adiariosv2,RJ,valido,3304128,https://quatis.aexecutivo.com.br/jornal.php
Quissamã,2017-01-31,2025-02-07,adiariosv2,RJ,valido,3304151,https://portal.quissama.rj.gov.br/jornal.php
São Pedro da Aldeia,2002-12-30,2018-04-13,adiariosv2,RJ,valido,3305208,https://portal.pmspa.rj.gov.br/jornal.php
São Pedro da Aldeia,2002-12-30,2018-04-13,adiariosv2,RJ,valido,3305208,https://pmspa.aexecutivo.com.br/jornal.php
São Pedro de Alcântara,2002-12-30,2018-04-13,adiariosv2,SC,valido,4217253,https://pmspa.aexecutivo.com.br/jornal.php
