city,date_from,date_to,pattern,state,status,territory_id,url
Abreulândia,,,aratext,TO,invalido,1700251,https://abreulandia.to.gov.br/diariooficial
Acari,,,aratext,RN,invalido,2400109,https://acari.rn.gov.br/error/404
Água Doce do Maranhão,,,aratext,MA,invalido,2100154,https://aguadocedomaranhao.ma.gov.br/diariooficial
Água Doce do Maranhão,,,aratext,MA,invalido,2100154,http://aguadocedomaranhao.ma.gov.br/diariooficial
Águas de Chapecó,,,aratext,SC,invalido,4200507,https://chapeco.sc.gov.br/diariooficial
Águas de Lindóia,,,aratext,SP,invalido,3500501,https://aguasdelindoia.sp.gov.br/diariooficial
Agudos,,,aratext,SP,invalido,3500709,https://agudos.sp.gov.br/diariooficial
Ajuricaba,,,aratext,RS,invalido,4300208,https://ajuricaba.rs.gov.br/diariooficial
Alambari,,,aratext,SP,invalido,3500758,http://alambari.sp.gov.br/diariooficial
Alambari,,,aratext,SP,invalido,3500758,https://alambari.sp.gov.br/diariooficial
Alagoinha do Piauí,,,aratext,PI,invalido,2200251,https://alagoinha.pi.gov.br/diariooficial
Albertina,,,aratext,MG,invalido,3101409,https://albertina.mg.gov.br/diariooficial
Aldeias Altas,,,aratext,MA,invalido,2100303,https://aldeiasaltas.ma.gov.br/diariooficial
Alegrete do Piauí,,,aratext,PI,invalido,2200277,http://alegretedopiaui.pi.gov.br/diariooficial
Alegrete do Piauí,,,aratext,PI,invalido,2200277,https://alegretedopiaui.pi.gov.br/diariooficial
Alfredo Marcondes,,,aratext,SP,invalido,3500808,https://alfredomarcondes.sp.gov.br/diariooficial
Alhandra,,,aratext,PB,invalido,2500601,https://alhandra.pb.gov.br/diariooficial
Alpestre,,,aratext,RS,invalido,4300505,https://alpestre.rs.gov.br/diariooficial
Almirante Tamandaré do Sul,,,aratext,RS,invalido,4300471,https://almirantetamandaredosul.rs.gov.br/diariooficial
Alto Araguaia,,,aratext,MT,invalido,5100300,https://altoaraguaia.mt.gov.br/diariooficial
Alto Bela Vista,,,aratext,SC,invalido,4200754,https://altobelavista.sc.gov.br/diariooficial
Álvares Machado,,,aratext,SP,invalido,3501301,https://alvaresmachado.sp.gov.br/diariooficial
Álvaro de Carvalho,,,aratext,SP,invalido,3501400,https://alvarodecarvalho.sp.gov.br/diariooficial
Alvinlândia,,,aratext,SP,invalido,3501509,https://alvinlandia.sp.gov.br/diariooficial
Amambai,,,aratext,MS,invalido,5000609,https://amambai.ms.gov.br/diariooficial
Amaporã,,,aratext,PR,invalido,4100905,https://amapora.pr.gov.br/diariooficial
Ametista do Sul,,,aratext,RS,invalido,4300646,https://ametistadosul.rs.gov.br/diariooficial
Ametista do Sul,,,aratext,RS,invalido,4300646,http://ametistadosul.rs.gov.br/diariooficial
Anastácio,,,aratext,MS,invalido,5000708,http://anastacio.ms.gov.br/diariooficial
Anastácio,,,aratext,MS,invalido,5000708,https://anastacio.ms.gov.br/diariooficial
Andradas,,,aratext,MG,invalido,3102605,https://andradas.mg.gov.br/diariooficial
Angatuba,,,aratext,SP,invalido,3502200,https://angatuba.sp.gov.br/diariooficial
Anhumas,,,aratext,SP,invalido,3502408,https://anhumas.sp.gov.br/diariooficial
Anta Gorda,,,aratext,RS,invalido,4300703,https://antagorda.rs.gov.br/diariooficial
