city,date_from,date_to,pattern,state,status,territory_id,url
Adolfo,2020-01-06,2020-07-01,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2019-07-03,2019-12-30,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2019-01-11,2019-06-26,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2018-07-04,2018-12-28,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2018-01-12,2018-06-29,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2017-01-10,2017-06-27,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2016-07-08,2016-12-30,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2016-01-08,2016-06-28,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2015-07-03,2015-12-28,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2015-05-14,2015-06-30,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2023-07-03,2023-12-29,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2025-01-02,2025-02-05,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2023-01-03,2023-06-27,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2021-01-05,2021-07-01,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2024-01-03,2024-07-01,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2017-07-04,2017-12-27,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2024-07-01,2024-12-30,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2022-07-01,2022-12-29,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2022-01-04,2022-07-01,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2021-07-01,2021-12-30,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Adolfo,2020-07-01,2020-12-30,dosp,SP,valido,3500204,https://www.imprensaoficialmunicipal.com.br/adolfo
Afonso Cunha,2024-07-01,2024-12-31,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Afonso Cunha,2024-01-08,2024-07-01,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Afonso Cunha,2023-07-03,2023-12-30,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Afonso Cunha,2023-01-02,2023-06-30,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Afonso Cunha,2022-07-01,2022-12-26,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Afonso Cunha,2022-01-03,2022-07-01,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Afonso Cunha,2021-10-19,2021-12-30,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Afonso Cunha,2025-01-06,2025-02-06,dosp,MA,valido,2100105,https://www.imprensaoficialmunicipal.com.br/cunha
Aguaí,2023-07-01,2023-12-31,dosp,SP,valido,3500303,https://www.imprensaoficialmunicipal.com.br/aguai
Aguaí,2023-01-02,2023-07-01,dosp,SP,valido,3500303,https://www.imprensaoficialmunicipal.com.br/aguai
Aguaí,2024-07-01,2024-12-31,dosp,SP,valido,3500303,https://www.imprensaoficialmunicipal.com.br/aguai
Aguaí,2024-01-02,2024-07-01,dosp,SP,valido,3500303,https://www.imprensaoficialmunicipal.com.br/aguai
Aguaí,2022-10-19,2022-12-30,dosp,SP,valido,3500303,https://www.imprensaoficialmunicipal.com.br/aguai
Aguaí,2025-01-02,2025-02-07,dosp,SP,valido,3500303,https://www.imprensaoficialmunicipal.com.br/aguai
Águas da Prata,2024-07-01,2024-12-30,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2024-01-03,2024-07-01,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2023-07-04,2023-12-27,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2023-01-03,2023-06-30,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2022-07-01,2022-12-30,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2022-01-03,2022-07-01,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2021-07-02,2021-12-30,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2021-01-05,2021-06-30,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2020-07-01,2020-12-30,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2020-01-06,2020-07-01,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2019-07-01,2019-12-30,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2025-01-07,2025-02-04,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
Águas da Prata,2018-08-23,2018-12-28,dosp,SP,valido,3500402,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
