city,date_from,date_to,pattern,state,status,territory_id,url
Abadiânia,,,instar,GO,invalido,5200100,http://www.abadiania.go.gov.br/portal/diario-oficial
Abadiânia,,,instar,GO,invalido,5200100,https://www.abadiania.go.gov.br/portal/diario-oficial
Abreulândia,,,instar,TO,invalido,1700251,https://www.abreulandia.to.gov.br/portal/diario-oficial
Acari,,,instar,RN,invalido,2400109,https://www.acari.rn.gov.br/portal/diario-oficial
Adamantina,,,instar,SP,invalido,3500105,https://www.adamantina.sp.gov.br/portal/diario-oficial
Água Branca,,,instar,AL,invalido,2700102,http://portal.aguabranca.al.gov.br
Água Branca,,,instar,AL,invalido,2700102,https://portal.aguabranca.al.gov.br
Água Doce do Maranhão,,,instar,MA,invalido,2100154,http://www.aguadocedomaranhao.ma.gov.br/portal/diario-oficial
Água Doce do Maranhão,,,instar,MA,invalido,2100154,https://www.aguadocedomaranhao.ma.gov.br/portal/diario-oficial
Aguanil,,,instar,MG,invalido,3100807,http://www.aguanil.mg.gov.br/portal/diario-oficial
Aguanil,,,instar,MG,invalido,3100807,https://www.aguanil.mg.gov.br/portal/diario-oficial
Aguanil,,,instar,MG,invalido,3100807,https://www.aguanil.mg.gov.br/portal/diario-oficial
Aguanil,,,instar,MG,invalido,3100807,https://www.aguanil.mg.gov.br/portal/diario-oficial
Águas de Chapecó,,,instar,SC,invalido,4200507,https://www.chapeco.sc.gov.br/portal/diario-oficial
Águas de Chapecó,,,instar,SC,invalido,4200507,https://www.aguas.sc.gov.br/portal/diario-oficial
Águas Frias,,,instar,SC,invalido,4200556,https://www.aguas.sc.gov.br/portal/diario-oficial
Águas Mornas,,,instar,SC,invalido,4200606,https://www.aguas.sc.gov.br/portal/diario-oficial
Alegre,,,instar,ES,invalido,3200201,https://www.alegre.es.gov.br/portal/diario-oficial
Alfredo Marcondes,,,instar,SP,invalido,3500808,https://portal.alfredomarcondes.sp.gov.br/portal/diario-oficial
Alfredo Marcondes,,,instar,SP,invalido,3500808,http://portal.alfredomarcondes.sp.gov.br/portal/diario-oficial
Alhandra,,,instar,PB,invalido,2500601,https://www.alhandra.pb.gov.br/portal/diario-oficial
Alta Floresta,,,instar,MT,invalido,5100250,https://www.altafloresta.mt.gov.br/portal/diario-oficial
Alto Garças,,,instar,MT,invalido,5100409,https://www.altogarcas.mt.gov.br/portal/diario-oficial
Alto Paraguai,,,instar,MT,invalido,5100508,https://www.altoparaguai.mt.gov.br/portal/diario-oficial
Alto Rio Doce,,,instar,MG,invalido,3102100,http://www.altoriodoce.mg.gov.br/portal/diario-oficial
Alto Rio Doce,,,instar,MG,invalido,3102100,https://www.altoriodoce.mg.gov.br/portal/diario-oficial
Alto Taquari,,,instar,MT,invalido,5100607,http://www.altotaquari.mt.gov.br/portal/diario-oficial
Alto Taquari,,,instar,MT,invalido,5100607,https://www.altotaquari.mt.gov.br/portal/diario-oficial
Américo de Campos,,,instar,SP,invalido,3501806,https://www.americodecampos.sp.gov.br/portal/diario-oficial
Américo de Campos,,,instar,SP,invalido,3501806,http://www.americodecampos.sp.gov.br/portal/diario-oficial
Ametista do Sul,,,instar,RS,invalido,4300646,http://www.ametistadosul.rs.gov.br/portal/diario-oficial
Ametista do Sul,,,instar,RS,invalido,4300646,https://www.ametistadosul.rs.gov.br/portal/diario-oficial
Amparo,,,instar,PB,invalido,2500734,http://www.amparo.pb.gov.br/portal/diario-oficial
Amparo,,,instar,PB,invalido,2500734,https://www.amparo.pb.gov.br/portal/diario-oficial
Anastácio,,,instar,MS,invalido,5000708,http://www.anastacio.ms.gov.br/portal/diario-oficial
Anastácio,,,instar,MS,invalido,5000708,https://www.anastacio.ms.gov.br/portal/diario-oficial
Anhembi,,,instar,SP,invalido,3502309,http://www.anhembi.sp.gov.br/portal/diario-oficial
Anhembi,,,instar,SP,invalido,3502309,https://www.anhembi.sp.gov.br/portal/diario-oficial
