city,date_from,date_to,pattern,state,status,territory_id,url
Adolfo,2015-05-14,2020-01-15,instar,SP,valido,3500204,https://www.adolfo.sp.gov.br/portal/diario-oficial
Águas de São Pedro,2021-05-18,2025-02-07,instar,SP,valido,3500600,https://www.aguasdesaopedro.sp.gov.br/portal/diario-oficial
Alto Alegre,2018-07-03,2025-02-07,instar,SP,valido,3501103,http://www.altoalegre.sp.gov.br/portal/diario-oficial
Alto Alegre,2018-07-03,2025-02-07,instar,SP,valido,3501103,https://www.altoalegre.sp.gov.br/portal/diario-oficial
Alumínio,2013-01-31,2025-01-31,instar,SP,valido,3501152,https://www.aluminio.sp.gov.br/portal/diario-oficial
Alumínio,2013-01-31,2025-01-31,instar,SP,valido,3501152,https://www.aluminio.sp.gov.br/portal/diario-oficial
Álvares Florence,2013-03-13,2025-02-07,instar,SP,valido,3501202,https://www.alvaresflorence.sp.gov.br/portal/diario-oficial
Álvares Florence,2013-03-13,2025-02-07,instar,SP,valido,3501202,http://www.alvaresflorence.sp.gov.br/portal/diario-oficial
Andradina,2021-03-03,2025-02-07,instar,SP,valido,3502101,https://www.andradina.sp.gov.br/portal/diario-oficial
Andradina,2021-03-03,2025-02-07,instar,SP,valido,3502101,http://www.andradina.sp.gov.br/portal/diario-oficial
Antônio Olinto,2016-06-14,2025-02-07,instar,PR,valido,4101309,https://antonioolinto.pr.gov.br/portal/diario-oficial
Antônio Olinto,2016-06-14,2025-02-07,instar,PR,valido,4101309,https://antonioolinto.pr.gov.br/portal/diario-oficial
Aparecida,2021-08-23,2025-02-07,instar,SP,valido,3502507,https://www.aparecida.sp.gov.br/portal/diario-oficial
Aparecida d'Oeste,2021-08-23,2025-02-07,instar,SP,valido,3502606,https://www.aparecida.sp.gov.br/portal/diario-oficial
Araçariguama,2019-09-06,2025-02-07,instar,SP,valido,3502754,http://www.aracariguama.sp.gov.br/portal/diario-oficial
Araçariguama,2019-09-06,2025-02-07,instar,SP,valido,3502754,https://www.aracariguama.sp.gov.br/portal/diario-oficial
Arapeí,2021-05-27,2025-02-06,instar,SP,valido,3503158,https://www.arapei.sp.gov.br/portal/diario-oficial
Arapeí,2021-05-27,2025-02-06,instar,SP,valido,3503158,http://www.arapei.sp.gov.br/portal/diario-oficial
Avanhandava,2022-01-07,2025-02-06,instar,SP,valido,3504404,https://www.avanhandava.sp.gov.br/portal/diario-oficial
Avanhandava,2022-01-07,2025-02-06,instar,SP,valido,3504404,https://www.avanhandava.sp.gov.br/portal/diario-oficial
Bady Bassitt,2024-03-05,2025-02-07,instar,SP,valido,3504602,https://www.badybassitt.sp.gov.br/portal/diario-oficial
Bady Bassitt,2024-03-05,2025-02-07,instar,SP,valido,3504602,https://www.badybassitt.sp.gov.br/portal/diario-oficial
Barão de Antonina,2019-01-03,2025-02-07,instar,SP,valido,3505005,https://www.baraodeantonina.sp.gov.br/portal/diario-oficial
Barão de Antonina,2019-01-03,2025-02-07,instar,SP,valido,3505005,http://www.baraodeantonina.sp.gov.br/portal/diario-oficial
Barbosa,2021-01-21,2025-02-07,instar,SP,valido,3505104,https://www.barbosa.sp.gov.br/portal/diario-oficial
Barbosa,2021-01-21,2025-02-07,instar,SP,valido,3505104,https://www.barbosa.sp.gov.br/portal/diario-oficial
Bela Vista,2011-11-16,2025-02-07,instar,MS,valido,5002100,https://www.belavista.ms.gov.br/portal/diario-oficial
Betim,2008-01-11,2025-02-07,instar,MG,valido,3106705,https://www.betim.mg.gov.br/portal/diario-oficial
Braúna,2020-02-12,2024-07-19,instar,SP,valido,3507704,http://www.brauna.sp.gov.br/portal/diario-oficial
Braúna,2020-02-12,2024-07-19,instar,SP,valido,3507704,https://www.brauna.sp.gov.br/portal/diario-oficial
Brejo Alegre,2021-10-21,2025-02-07,instar,SP,valido,3507753,http://www.brejoalegre.sp.gov.br/portal/diario-oficial
Brejo Alegre,2021-10-21,2025-02-07,instar,SP,valido,3507753,http://www.brejoalegre.sp.gov.br/portal/diario-oficial
Cachoeira do Sul,2021-10-27,2025-02-07,instar,RS,valido,4303004,https://www.cachoeiradosul.rs.gov.br/portal/diario-oficial
Cachoeira do Sul,2021-10-27,2025-02-07,instar,RS,valido,4303004,http://www.cachoeiradosul.rs.gov.br/portal/diario-oficial
Campo Belo,2016-01-05,2025-02-07,instar,MG,valido,3111200,https://www.campobelo.mg.gov.br/portal/diario-oficial
Campo Belo,2016-01-05,2025-02-07,instar,MG,valido,3111200,https://www.campobelo.mg.gov.br/portal/diario-oficial
Candeias,2017-02-08,2025-02-07,instar,BA,valido,2906501,https://www.candeias.mg.gov.br/portal/diario-oficial
Candeias,2017-02-08,2025-02-07,instar,MG,valido,3112000,https://www.candeias.mg.gov.br/portal/diario-oficial
Candeias,2017-02-08,2025-02-07,instar,MG,valido,3112000,https://www.candeias.mg.gov.br/portal/diario-oficial
Candeias,2017-02-08,2025-02-07,instar,MG,valido,3112000,https://www.candeias.mg.gov.br/portal/diario-oficial
Candeias,2017-02-08,2025-02-07,instar,BA,valido,2906501,https://www.candeias.mg.gov.br/portal/diario-oficial
Candeias,2017-02-08,2025-02-07,instar,MG,valido,3112000,https://www.candeias.mg.gov.br/portal/diario-oficial
Candeias do Jamari,2017-02-08,2025-02-07,instar,RO,valido,1100809,https://www.candeias.mg.gov.br/portal/diario-oficial
Candeias do Jamari,2017-02-08,2025-02-07,instar,RO,valido,1100809,https://www.candeias.mg.gov.br/portal/diario-oficial
Carazinho,2023-08-25,2025-02-07,instar,RS,valido,4304705,https://www.carazinho.rs.gov.br/portal/diario-oficial
Carazinho,2023-08-25,2025-02-07,instar,RS,valido,4304705,https://www.carazinho.rs.gov.br/portal/diario-oficial
Carmo da Cachoeira,Edição com data ausente,2025-02-07,instar,MG,valido,3113909,http://www.carmodacachoeira.mg.gov.br/portal/diario-oficial
Carmo da Cachoeira,Edição com data ausente,2025-02-07,instar,MG,valido,3113909,https://www.carmodacachoeira.mg.gov.br/portal/diario-oficial
Carmo do Rio Claro,2021-05-14,2024-12-20,instar,MG,valido,3114402,https://www.carmodorioclaro.mg.gov.br/portal/diario-oficial
Cerrito,2019-09-09,2025-02-06,instar,RS,valido,4305124,https://www.cerrito.rs.gov.br/portal/diario-oficial
Cerrito,2019-09-09,2025-02-06,instar,RS,valido,4305124,https://www.cerrito.rs.gov.br/portal/diario-oficial
Cerrito,2019-09-09,2025-02-06,instar,RS,valido,4305124,https://www.cerrito.rs.gov.br/portal/diario-oficial
Cerrito,2019-09-09,2025-02-06,instar,RS,valido,4305124,https://www.cerrito.rs.gov.br/portal/diario-oficial
Charqueada,2009-01-09,2025-02-07,instar,SP,valido,3511706,https://www.charqueada.sp.gov.br/portal/diario-oficial
Contagem,Edição com data ausente,2025-02-07,instar,MG,valido,3118601,https://portal.contagem.mg.gov.br/portal/diario-oficial
Coronel Macedo,2017-05-29,2025-02-07,instar,SP,valido,3512605,http://www.coronelmacedo.sp.gov.br/portal/diario-oficial
Coronel Macedo,2017-05-29,2025-02-07,instar,SP,valido,3512605,http://www.coronelmacedo.sp.gov.br/portal/diario-oficial
Costa Rica,2005-01-03,2025-02-07,instar,MS,valido,5003256,https://www.costarica.ms.gov.br/portal/diario-oficial
Cotriguaçu,2023-11-17,2025-02-07,instar,MT,valido,5103379,https://www.cotriguacu.mt.gov.br/portal/diario-oficial
Cotriguaçu,2023-11-17,2025-02-07,instar,MT,valido,5103379,http://www.cotriguacu.mt.gov.br/portal/diario-oficial
Crucilândia,2015-03-31,2025-02-07,instar,MG,valido,3120607,http://www.prefeituradecrucilandia.mg.gov.br/portal/diario-oficial
Crucilândia,2015-03-31,2025-02-07,instar,MG,valido,3120607,http://www.prefeituradecrucilandia.mg.gov.br/portal/diario-oficial
Dirce Reis,2019-10-07,2024-05-09,instar,SP,valido,3513850,https://www.dircereis.sp.gov.br/portal/diario-oficial
Dracena,2020-11-24,2025-02-07,instar,SP,valido,3514403,https://www.dracena.sp.gov.br/portal/diario-oficial
Eldorado,2018-12-04,2025-02-07,instar,SP,valido,3514809,https://www.eldorado.sp.gov.br/portal/diario-oficial
Floreal,2022-11-09,2025-02-07,instar,SP,valido,3515905,https://www.floreal.sp.gov.br/portal/diario-oficial
General Salgado,2022-01-13,2025-02-07,instar,SP,valido,3516903,http://www.generalsalgado.sp.gov.br/portal/diario-oficial
General Salgado,2022-01-13,2025-02-07,instar,SP,valido,3516903,https://www.generalsalgado.sp.gov.br/portal/diario-oficial
Glicério,Edição com data ausente,2025-02-07,instar,SP,valido,3517109,http://www.glicerio.sp.gov.br/portal/diario-oficial
Glicério,Edição com data ausente,2025-02-07,instar,SP,valido,3517109,https://www.glicerio.sp.gov.br/portal/diario-oficial
Iacanga,2014-01-09,2025-02-07,instar,SP,valido,3519105,https://www.iacanga.sp.gov.br/portal/diario-oficial
Iacanga,2014-01-09,2025-02-07,instar,SP,valido,3519105,https://www.iacanga.sp.gov.br/portal/diario-oficial
Ibiraci,2024-07-15,2025-02-07,instar,MG,valido,3129707,http://www.ibiraci.mg.gov.br/portal/diario-oficial
Ibiraci,2024-07-15,2025-02-07,instar,MG,valido,3129707,https://www.ibiraci.mg.gov.br/portal/diario-oficial
Ibitinga,Edição com data ausente,2025-02-07,instar,SP,valido,3519600,https://www.ibitinga.instarbr.com.br/portal/diario-oficial
Ibitinga,Edição com data ausente,2025-02-07,instar,SP,valido,3519600,https://www.ibitinga.instarbr.com.br/portal/diario-oficial
Iepê,2019-10-16,2025-02-07,instar,SP,valido,3519907,https://www.iepe.sp.gov.br/portal/diario-oficial
Igaraçu do Tietê,2021-01-01,2025-02-07,instar,SP,valido,3520004,https://www.igaracudotiete.sp.gov.br/portal/diario-oficial
Iguape,Edição com data ausente,2025-02-08,instar,SP,valido,3520301,http://www.iguape.sp.gov.br/portal/diario-oficial
Iguape,Edição com data ausente,2025-02-08,instar,SP,valido,3520301,http://www.iguape.sp.gov.br/portal/diario-oficial
Ilhabela,Edição com data ausente,2025-02-07,instar,SP,valido,3520400,http://www.ilhabela.sp.gov.br/portal/diario-oficial
Ilhabela,Edição com data ausente,2025-02-07,instar,SP,valido,3520400,http://www.ilhabela.sp.gov.br/portal/diario-oficial
Inocência,Edição com data ausente,2025-02-07,instar,MS,valido,5004403,https://www.inocencia.ms.gov.br/portal/diario-oficial
Inocência,Edição com data ausente,2025-02-07,instar,MS,valido,5004403,https://www.inocencia.ms.gov.br/portal/diario-oficial
Iracemápolis,2017-01-02,2025-02-07,instar,SP,valido,3521408,https://www.iracemapolis.sp.gov.br/portal/diario-oficial
Iracemápolis,2017-01-02,2025-02-07,instar,SP,valido,3521408,https://www.iracemapolis.sp.gov.br/portal/diario-oficial
Irapuru,2023-03-10,2025-02-07,instar,SP,valido,3521606,http://www.irapuru.sp.gov.br/portal/diario-oficial
Irapuru,2023-03-10,2025-02-07,instar,SP,valido,3521606,http://www.irapuru.sp.gov.br/portal/diario-oficial
Itapirapuã Paulista,Edição com data ausente,2025-02-07,instar,SP,valido,3522653,https://www.itapirapuapaulista.sp.gov.br/portal/diario-oficial
Itapirapuã Paulista,Edição com data ausente,2025-02-07,instar,SP,valido,3522653,https://www.itapirapuapaulista.sp.gov.br/portal/diario-oficial
Itápolis,2017-01-11,2025-02-07,instar,SP,valido,3522703,https://www.itapolis.sp.gov.br/portal/diario-oficial
Itaporanga,2009-04-16,2025-02-07,instar,SP,valido,3522802,https://www.itaporanga.sp.gov.br/portal/diario-oficial
