territory_id,state,city,pattern,status,date_from,date_to,url
2611101,PE,Petrolina,doem,atual,2014-03-06,2024-10-31,http://doem.org.br/pe/petrolina/diarios
2708907,AL,Satuba,doem,descontinuado,2013-01-02,2017-11-17,https://doem.org.br/al/satuba/diarios
2802809,SE,Indiaroba,doem,descontinuado,2014-04-30,2019-06-14,https://doem.org.br/se/indiaroba/diarios
2804805,SE,Nossa Senhora do Socorro,doem,atual,2022-11-07,2024-10-30,http://doem.org.br/se/nossasenhoradosocorro/diarios
2900306,BA,Acajutiba,doem,atual,2013-01-30,2024-10-31,https://doem.org.br/ba/acajutiba/diarios
2900504,BA,Érico Cardoso,doem,descontinuado,2016-02-19,2018-03-28,http://doem.org.br/ba/ericocardoso/diarios
2900702,BA,Alagoinhas,doem,atual,2015-01-28,2024-10-31,http://doem.org.br/ba/alagoinhas/diarios
2900801,BA,Alcobaça,doem,atual,2012-01-02,2024-10-31,https://doem.org.br/ba/alcobaca/diarios
2901403,BA,Angical,doem,atual,2021-01-04,2024-10-31,http://doem.org.br/ba/angical/diarios
2901700,BA,Antônio Cardoso,doem,descontinuado,2012-01-02,2020-11-30,http://doem.org.br/ba/antoniocardoso/diarios
2902658,BA,Banzaê,doem,atual,2017-02-02,2024-11-01,https://doem.org.br/ba/banzae/diarios
2903201,BA,Barreiras,doem,descontinuado,2013-02-05,2017-03-10,https://doem.org.br/ba/barreiras/diarios
2903235,BA,Barro Alto,doem,descontinuado,2021-04-06,2021-07-21,https://doem.org.br/ba/barroalto/diarios
2903276,BA,Barrocas,doem,descontinuado,2017-01-02,2021-11-30,http://doem.org.br/ba/barrocas/diarios
2904902,BA,Cachoeira,doem,descontinuado,2017-01-03,2021-01-27,http://doem.org.br/ba/cachoeira/diarios
2905008,BA,Caculé,doem,descontinuado,2014-01-02,2021-01-28,http://doem.org.br/ba/cacule/diarios
2905206,BA,Caetité,doem,atual,2021-04-27,2024-10-31,http://doem.org.br/ba/caetite/diarios
2905800,BA,Camamu,doem,descontinuado,2017-01-03,2020-11-30,https://doem.org.br/ba/camamu/diarios
2905909,BA,Campo Alegre de Lourdes,doem,descontinuado,2020-11-30,2024-08-30,https://doem.org.br/ba/campoalegredelourdes/diarios
2906006,BA,Campo Formoso,doem,atual,2013-01-31,2024-10-31,https://doem.org.br/ba/campoformoso/diarios
2906501,BA,Candeias,doem,descontinuado,2013-10-23,2018-11-30,http://doem.org.br/ba/candeias/diarios
2906808,BA,Cansanção,doem,descontinuado,2011-01-03,2015-01-29,https://doem.org.br/ba/cansancao/diarios
2906824,BA,Canudos,doem,atual,2013-01-04,2024-10-31,https://doem.org.br/ba/canudos/diarios
2907400,BA,Catolândia,doem,descontinuado,2015-05-06,2021-01-27,https://doem.org.br/ba/catolandia/diarios
2907509,BA,Catu,doem,descontinuado,2014-07-17,2021-04-19,https://doem.org.br/ba/catu/diarios
2907806,BA,Cícero Dantas,doem,atual,2012-01-03,2024-10-31,https://doem.org.br/ba/cicerodantas/diarios
2907905,BA,Cipó,doem,atual,2012-01-02,2024-11-01,http://doem.org.br/ba/cipo/diarios
2909406,BA,Cotegipe,doem,atual,2023-01-05,2024-10-28,https://doem.org.br/ba/cotegipe/diarios
2909703,BA,Cristópolis,doem,atual,2021-01-12,2024-10-31,https://doem.org.br/ba/cristopolis/diarios
2909802,BA,Cruz das Almas,doem,atual,2021-04-01,2024-11-01,http://doem.org.br/ba/cruzdasalmas/diarios
2910602,BA,Esplanada,doem,atual,2021-01-04,2024-10-31,https://doem.org.br/ba/esplanada/diarios
2910909,BA,Firmino Alves,doem,descontinuado,2021-01-06,2021-06-09,https://doem.org.br/ba/firminoalves/diarios
2911006,BA,Floresta Azul,doem,descontinuado,2017-01-02,2022-11-30,http://doem.org.br/ba/florestaazul/diarios
2911105,BA,Formosa do Rio Preto,doem,atual,2021-01-04,2024-10-31,http://doem.org.br/ba/formosadoriopreto/diarios
2911303,BA,Gentio do Ouro,doem,descontinuado,2018-01-03,2018-11-30,http://doem.org.br/ba/gentiodoouro/diarios
2911501,BA,Gongogi,doem,descontinuado,2013-01-10,2017-01-30,https://doem.org.br/ba/gongogi/diarios
