territory_id,state,city,pattern,status,date_from,date_to,url
1503077,PA,Garrafão do Norte,adiariosv1,atual,2018-07-31,2025-02-07,https://www.garrafaodonorte.pa.gov.br/diariooficial.php
1504059,PA,Mãe do Rio,adiariosv1,descontinuado,2022-08-24,2022-09-20,https://www.prefeituramaedorio.pa.gov.br/diariooficial.php
1508126,PA,Ulianópolis,adiariosv1,descontinuado,2022-06-08,2023-02-06,https://www.ulianopolis.pa.gov.br/diariooficial.php
1600709,AP,Tartarugalzinho,adiariosv1,atual,0024-10-14,2025-02-07,https://www.tartarugalzinho.ap.gov.br/diariooficial.php
1702901,TO,Axixá do Tocantins,adiariosv1,atual,2021-08-16,2025-02-04,https://www.axixa.to.gov.br/diariooficial.php
2100709,MA,Anajatuba,adiariosv1,atual,2021-02-12,2025-02-07,https://www.anajatuba.ma.gov.br/diariooficial.php
2100956,MA,Arame,adiariosv1,atual,2017-02-10,2025-02-05,https://www.arame.ma.gov.br/diariooficial.php
2101301,MA,Bacuri,adiariosv1,atual,2024-02-23,2025-02-06,https://www.bacuri.ma.gov.br/diariooficial.php
2101400,MA,Balsas,adiariosv1,atual,2017-01-12,2025-02-06,https://www.balsas.ma.gov.br/diariooficial.php
2102002,MA,Bom Jardim,adiariosv1,atual,2017-07-19,2025-02-07,https://www.bomjardim.ma.gov.br/diariooficial.php
2102077,MA,Bom Lugar,adiariosv1,atual,2013-01-13,2025-02-07,https://www.bomlugar.ma.gov.br/diariooficial.php
2102325,MA,Buriticupu,adiariosv1,atual,2018-05-07,2025-02-07,https://www.buriticupu.ma.gov.br/diariooficial.php
2102705,MA,Cantanhede,adiariosv1,atual,2009-01-05,2025-02-06,https://www.cantanhede.ma.gov.br/diariooficial.php
2102804,MA,Carolina,adiariosv1,descontinuado,2024-04-17,2024-07-01,https://www.carolina.ma.gov.br/diariooficial.php
2104008,MA,Esperantinópolis,adiariosv1,atual,2002-02-24,2025-02-07,https://www.esperantinopolis.ma.gov.br/diariooficial.php
2104651,MA,Governador Newton Bello,adiariosv1,atual,2025-01-10,2025-02-07,https://www.governadornewtonbello.ma.gov.br/diariooficial.php
2105104,MA,Icatu,adiariosv1,atual,0204-11-27,2025-02-05,https://www.icatu.ma.gov.br/diariooficial.php
2105401,MA,Itapecuru Mirim,adiariosv1,atual,2021-03-29,2025-02-07,https://www.itapecurumirim.ma.gov.br/diariooficial.php
2105708,MA,Lago da Pedra,adiariosv1,atual,2018-12-31,2025-02-07,https://www.lagodapedra.ma.gov.br/diariooficial.php
2106003,MA,Lima Campos,adiariosv1,atual,2013-01-02,2025-02-07,https://www.limacampos.ma.gov.br/diariooficial.php
2106326,MA,Maracaçumé,adiariosv1,atual,2019-10-20,2025-02-07,https://www.maracacume.ma.gov.br/diariooficial.php
2106631,MA,Matões do Norte,adiariosv1,atual,2010-03-29,2025-02-07,https://www.matoesdonorte.ma.gov.br/diariooficial.php
2108207,MA,Pedreiras,adiariosv1,atual,2015-02-20,2025-02-07,https://www.pedreiras.ma.gov.br/diariooficial.php
2108504,MA,Pindaré-Mirim,adiariosv1,atual,2020-01-02,2025-02-04,https://www.pindaremirim.ma.gov.br/diariooficial.php
2108702,MA,Pio XII,adiariosv1,descontinuado,2017-03-09,2024-07-31,https://www.pioxii.ma.gov.br/diariooficial.php
