territory_id,state,city,pattern,status,date_from,date_to,url
1100403,RO,Alto Paraíso,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
1100502,RO,Novo Horizonte do Oeste,dosp,atual,2023-07-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/horizonte
1101807,RO,Vale do Paraíso,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
1711506,TO,Jaú do Tocantins,dosp,atual,2023-01-06,2025-02-07,https://www.imprensaoficialmunicipal.com.br/jau
1716109,TO,Paraíso do Tocantins,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
2100105,MA,Afonso Cunha,dosp,atual,2021-10-19,2025-02-06,https://www.imprensaoficialmunicipal.com.br/cunha
2110203,MA,Santa Rita,dosp,atual,2021-05-07,2025-02-06,https://www.imprensaoficialmunicipal.com.br/santarita
2111052,MA,São João do Paraíso,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
2201804,PI,Bocaina,dosp,atual,2018-07-23,2025-02-07,https://www.imprensaoficialmunicipal.com.br/bocaina
2205607,PI,Landri Sales,dosp,atual,2017-12-20,2025-02-07,https://www.imprensaoficialmunicipal.com.br/sales
2301208,CE,Aracoiaba,dosp,atual,2017-07-06,2025-02-04,https://www.imprensaoficialmunicipal.com.br/aracoiaba
2302701,CE,Campos Sales,dosp,atual,2017-12-20,2025-02-07,https://www.imprensaoficialmunicipal.com.br/sales
2305233,CE,Horizonte,dosp,atual,2023-07-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/horizonte
2407252,RN,Major Sales,dosp,atual,2017-12-20,2025-02-07,https://www.imprensaoficialmunicipal.com.br/sales
2500734,PB,Amparo,dosp,atual,2019-10-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/amparo
2502706,PB,Borborema,dosp,atual,2016-05-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/borborema
2513703,PB,Santa Rita,dosp,atual,2021-05-07,2025-02-06,https://www.imprensaoficialmunicipal.com.br/santarita
2515930,PB,Sertãozinho,dosp,atual,2019-08-07,2025-02-07,https://www.imprensaoficialmunicipal.com.br/sertaozinho
2601052,PE,Araçoiaba,dosp,atual,2017-07-06,2025-02-04,https://www.imprensaoficialmunicipal.com.br/aracoiaba
2603009,PE,Cabrobó,dosp,atual,2019-04-08,2025-02-07,https://www.imprensaoficialmunicipal.com.br/cabrobo
2607901,PE,Jaboatão dos Guararapes,dosp,atual,2016-10-20,2025-02-07,https://www.imprensaoficialmunicipal.com.br/guararapes
2615003,PE,Taquaritinga do Norte,dosp,atual,2016-01-08,2025-02-07,https://www.imprensaoficialmunicipal.com.br/taquaritinga
2800100,SE,Amparo de São Francisco,dosp,atual,2019-10-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/amparo
2802601,SE,Gracho Cardoso,dosp,atual,2019-05-08,2025-02-08,https://www.imprensaoficialmunicipal.com.br/cardoso
2804706,SE,Nossa Senhora de Lourdes,dosp,atual,2017-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/lourdes
2900504,BA,Érico Cardoso,dosp,atual,2019-05-08,2025-02-08,https://www.imprensaoficialmunicipal.com.br/cardoso
2901700,BA,Antônio Cardoso,dosp,atual,2019-05-08,2025-02-08,https://www.imprensaoficialmunicipal.com.br/cardoso
2905909,BA,Campo Alegre de Lourdes,dosp,atual,2017-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/lourdes
2906709,BA,Cândido Sales,dosp,atual,2017-12-20,2025-02-07,https://www.imprensaoficialmunicipal.com.br/sales
2910701,BA,Euclides da Cunha,dosp,atual,2018-10-23,2025-02-07,https://www.imprensaoficialmunicipal.com.br/euclidesdacunha
2910701,BA,Euclides da Cunha,dosp,atual,2021-10-19,2025-02-06,https://www.imprensaoficialmunicipal.com.br/cunha
2912905,BA,Ibirataia,dosp,descontinuado,2022-05-02,2024-12-31,https://www.imprensaoficialmunicipal.com.br/ibirataia
2915403,BA,Itaju do Colônia,dosp,atual,2018-05-25,2025-02-07,https://www.imprensaoficialmunicipal.com.br/itaju
2917359,BA,Jaborandi,dosp,atual,2017-09-20,2025-02-07,https://www.imprensaoficialmunicipal.com.br/jaborandi
2918357,BA,João Dourado,dosp,atual,2017-10-17,2025-02-07,https://www.imprensaoficialmunicipal.com.br/dourado
2920700,BA,Maraú,dosp,atual,2017-10-10,2025-02-07,https://www.imprensaoficialmunicipal.com.br/marau
2923035,BA,Novo Horizonte,dosp,atual,2023-07-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/horizonte
2926509,BA,Ribeira do Amparo,dosp,atual,2019-10-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/amparo
2931400,BA,Teodoro Sampaio,dosp,atual,2018-08-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/teodoro_sampaio
3102506,MG,Amparo do Serra,dosp,atual,2019-10-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/amparo
3103801,MG,Arapuá,dosp,atual,2021-12-23,2025-02-07,https://www.imprensaoficialmunicipal.com.br/parapua
3106200,MG,Belo Horizonte,dosp,atual,2023-07-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/horizonte
3107208,MG,Bocaina de Minas,dosp,atual,2018-07-23,2025-02-07,https://www.imprensaoficialmunicipal.com.br/bocaina
3107703,MG,Bom Jesus do Amparo,dosp,atual,2019-10-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/amparo
3124401,MG,Espírito Santo do Dourado,dosp,atual,2017-10-17,2025-02-07,https://www.imprensaoficialmunicipal.com.br/dourado
3132404,MG,Itajubá,dosp,atual,2023-05-15,2025-02-07,https://www.imprensaoficialmunicipal.com.br/itajuba
3133402,MG,Itapagipe,dosp,atual,2021-03-08,2025-02-07,https://www.imprensaoficialmunicipal.com.br/itapagipe
3133600,MG,Itapeva,dosp,atual,2017-12-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/itapeva
3134400,MG,Iturama,dosp,atual,2021-09-03,2025-02-05,https://www.imprensaoficialmunicipal.com.br/iturama
3137809,MG,Lambari,dosp,atual,2025-01-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/lambari
3140852,MG,Matias Cardoso,dosp,atual,2019-05-08,2025-02-08,https://www.imprensaoficialmunicipal.com.br/cardoso
3141108,MG,Matozinhos,dosp,atual,2020-04-02,2025-02-07,https://www.imprensaoficialmunicipal.com.br/matozinhos
3142601,MG,Monsenhor Paulo,dosp,atual,2017-04-12,2025-02-06,https://www.imprensaoficialmunicipal.com.br/monsenhor_paulo
3143609,MG,Morro da Garça,dosp,atual,2014-08-25,2025-02-07,https://www.imprensaoficialmunicipal.com.br/garca
3146305,MG,Padre Paraíso,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
3157104,MG,Salto da Divisa,dosp,atual,2018-02-01,2025-02-08,https://www.imprensaoficialmunicipal.com.br/salto
3158102,MG,Santa Maria do Salto,dosp,atual,2018-02-01,2025-02-08,https://www.imprensaoficialmunicipal.com.br/salto
3158953,MG,Santana do Paraíso,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
3159902,MG,Santo Antônio do Amparo,dosp,atual,2019-10-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/amparo
3161304,MG,São Francisco de Sales,dosp,atual,2017-12-20,2025-02-07,https://www.imprensaoficialmunicipal.com.br/sales
3162708,MG,São João do Paraíso,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
3164704,MG,São Sebastião do Paraíso,dosp,atual,2015-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/paraiso
3165404,MG,Sapucaí-Mirim,dosp,atual,2023-11-24,2025-02-06,https://www.imprensaoficialmunicipal.com.br/sapucai_mirim
3165404,MG,Sapucaí-Mirim,dosp,atual,2023-11-24,2025-02-06,https://www.imprensaoficialmunicipal.com.br/sapucai-mirim
3170107,MG,Uberaba,dosp,atual,2021-09-01,2025-02-07,https://www.imprensaoficialmunicipal.com.br/uberaba
3301157,RJ,Cardoso Moreira,dosp,atual,2019-05-08,2025-02-08,https://www.imprensaoficialmunicipal.com.br/cardoso
3303807,RJ,Paraty,dosp,descontinuado,2024-10-21,2024-12-31,https://www.imprensaoficialmunicipal.com.br/paraty
3304409,RJ,Rio Claro,dosp,atual,2006-05-23,2025-02-07,https://www.imprensaoficialmunicipal.com.br/rio_claro
3305158,RJ,São José do Vale do Rio Preto,dosp,atual,2023-05-24,2025-02-07,https://www.imprensaoficialmunicipal.com.br/sao_jose_do_vale_do_rio_preto
3500204,SP,Adolfo,dosp,atual,2015-05-14,2025-02-05,https://www.imprensaoficialmunicipal.com.br/adolfo
3500303,SP,Aguaí,dosp,atual,2022-10-19,2025-02-07,https://www.imprensaoficialmunicipal.com.br/aguai
3500402,SP,Águas da Prata,dosp,atual,2018-08-23,2025-02-04,https://www.imprensaoficialmunicipal.com.br/aguas_da_prata
3500501,SP,Águas de Lindóia,dosp,atual,2020-01-31,2025-02-07,https://www.imprensaoficialmunicipal.com.br/aguas_de_lindoia
3500501,SP,Águas de Lindóia,dosp,atual,2020-01-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/lindoia
3500709,SP,Agudos,dosp,atual,2017-06-27,2025-02-06,https://www.imprensaoficialmunicipal.com.br/agudos
3501004,SP,Altinópolis,dosp,atual,2017-09-04,2025-02-07,https://www.imprensaoficialmunicipal.com.br/altinopolis
3501400,SP,Álvaro de Carvalho,dosp,atual,2018-04-04,2025-02-06,https://www.imprensaoficialmunicipal.com.br/alvaro_de_carvalho
3501806,SP,Américo de Campos,dosp,atual,2014-06-25,2025-02-07,https://www.imprensaoficialmunicipal.com.br/americo_de_campos
3501905,SP,Amparo,dosp,atual,2019-10-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/amparo
3502002,SP,Analândia,dosp,atual,2022-11-11,2025-02-07,https://www.imprensaoficialmunicipal.com.br/analandia
3502309,SP,Anhembi,dosp,atual,2024-03-12,2025-02-05,https://www.imprensaoficialmunicipal.com.br/anhembi
3502705,SP,Apiaí,dosp,atual,2024-09-02,2025-02-07,https://www.imprensaoficialmunicipal.com.br/apiai
3502804,SP,Araçatuba,dosp,atual,2020-04-22,2025-02-08,https://www.imprensaoficialmunicipal.com.br/aracatuba
3502903,SP,Araçoiaba da Serra,dosp,atual,2017-07-06,2025-02-04,https://www.imprensaoficialmunicipal.com.br/aracoiaba
3503000,SP,Aramina,dosp,atual,2022-09-27,2025-02-07,https://www.imprensaoficialmunicipal.com.br/aramina
3503406,SP,Arealva,dosp,atual,2017-10-09,2025-02-07,https://www.imprensaoficialmunicipal.com.br/arealva
3504305,SP,Avaí,dosp,atual,2017-09-18,2025-02-05,https://www.imprensaoficialmunicipal.com.br/avai
3504503,SP,Avaré,dosp,atual,2018-10-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/avare
3504701,SP,Balbinos,dosp,atual,2018-02-02,2025-02-07,https://www.imprensaoficialmunicipal.com.br/balbinos
3504800,SP,Bálsamo,dosp,atual,2017-02-22,2025-02-07,https://www.imprensaoficialmunicipal.com.br/balsamo
3505203,SP,Bariri,dosp,atual,2017-12-13,2025-02-07,https://www.imprensaoficialmunicipal.com.br/bariri
3505302,SP,Barra Bonita,dosp,atual,2021-05-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/barra_bonita
3505807,SP,Bastos,dosp,atual,2022-03-17,2025-02-07,https://www.imprensaoficialmunicipal.com.br/bastos
3506201,SP,Bento de Abreu,dosp,atual,2016-06-14,2025-02-05,https://www.imprensaoficialmunicipal.com.br/bento_de_abreu
3506508,SP,Birigui,dosp,atual,2016-12-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/birigui
3506805,SP,Bocaina,dosp,atual,2018-07-23,2025-02-07,https://www.imprensaoficialmunicipal.com.br/bocaina
3506904,SP,Bofete,dosp,atual,2021-05-24,2025-02-07,https://www.imprensaoficialmunicipal.com.br/bofete
3507159,SP,Bom Sucesso de Itararé,dosp,atual,2018-04-06,2025-02-07,https://www.imprensaoficialmunicipal.com.br/itarare
3507308,SP,Boracéia,dosp,atual,2024-02-05,2025-02-07,https://www.imprensaoficialmunicipal.com.br/boraceia
3507407,SP,Borborema,dosp,atual,2016-05-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/borborema
3507506,SP,Botucatu,dosp,atual,2000-01-06,2025-02-07,https://www.imprensaoficialmunicipal.com.br/botucatu
3507605,SP,Bragança Paulista,dosp,atual,2019-01-04,2025-02-07,https://www.imprensaoficialmunicipal.com.br/bragancapaulista
3507605,SP,Bragança Paulista,dosp,atual,2019-01-04,2025-02-07,https://www.imprensaoficialmunicipal.com.br/braganca_paulista
3507803,SP,Brodowski,dosp,atual,2017-08-08,2025-02-07,https://www.imprensaoficialmunicipal.com.br/brodowski
3508108,SP,Buritama,dosp,atual,2019-10-22,2025-02-08,https://www.imprensaoficialmunicipal.com.br/buritama
3508207,SP,Buritizal,dosp,atual,2022-10-26,2025-02-08,https://www.imprensaoficialmunicipal.com.br/buritizal
3508405,SP,Cabreúva,dosp,atual,2021-12-16,2025-02-07,https://www.imprensaoficialmunicipal.com.br/cabreuva
3508801,SP,Cafelândia,dosp,atual,2017-06-12,2025-02-07,https://www.imprensaoficialmunicipal.com.br/cafelandia
3508900,SP,Caiabu,dosp,atual,2018-11-13,2025-02-07,https://www.imprensaoficialmunicipal.com.br/caiabu
3509304,SP,Cajobi,dosp,atual,2013-06-10,2025-02-07,https://www.imprensaoficialmunicipal.com.br/cajobi
3509601,SP,Campo Limpo Paulista,dosp,atual,2022-01-07,2025-02-06,https://www.imprensaoficialmunicipal.com.br/campo_limpo_paulista
3510005,SP,Cândido Mota,dosp,atual,2023-06-21,2025-02-07,https://www.imprensaoficialmunicipal.com.br/candido_mota
3510153,SP,Canitar,dosp,atual,2018-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/canitar
3510302,SP,Capela do Alto,dosp,atual,2018-09-28,2025-02-07,https://www.imprensaoficialmunicipal.com.br/capela_do_alto
3510708,SP,Cardoso,dosp,atual,2019-05-08,2025-02-08,https://www.imprensaoficialmunicipal.com.br/cardoso
3511003,SP,Castilho,dosp,atual,2018-07-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/castilho
3511102,SP,Catanduva,dosp,atual,2016-03-18,2025-02-07,https://www.imprensaoficialmunicipal.com.br/catanduva
3511201,SP,Catiguá,dosp,atual,2021-04-16,2025-02-07,https://www.imprensaoficialmunicipal.com.br/catigua
3511409,SP,Cerqueira César,dosp,atual,2019-09-11,2025-02-07,https://www.imprensaoficialmunicipal.com.br/cerqueira_cesar
3511904,SP,Clementina,dosp,atual,2022-10-26,2025-02-07,https://www.imprensaoficialmunicipal.com.br/clementina
3512001,SP,Colina,dosp,atual,2022-04-19,2025-02-07,https://www.imprensaoficialmunicipal.com.br/colina
3512100,SP,Colômbia,dosp,atual,2017-01-12,2025-02-07,https://www.imprensaoficialmunicipal.com.br/colombia
3512506,SP,Coroados,dosp,atual,2018-02-16,2025-02-06,https://www.imprensaoficialmunicipal.com.br/coroados
3512902,SP,Cosmorama,dosp,atual,2015-04-09,2025-02-07,https://www.imprensaoficialmunicipal.com.br/cosmorama
3513306,SP,Cruzália,dosp,atual,2019-03-14,2025-02-07,https://www.imprensaoficialmunicipal.com.br/cruzalia
3513603,SP,Cunha,dosp,atual,2021-10-19,2025-02-06,https://www.imprensaoficialmunicipal.com.br/cunha
3513850,SP,Dirce Reis,dosp,atual,2019-04-04,2025-02-07,https://www.imprensaoficialmunicipal.com.br/dirce_reis
3514007,SP,Dobrada,dosp,atual,2016-06-03,2025-02-07,https://www.imprensaoficialmunicipal.com.br/dobrada
3514205,SP,Dolcinópolis,dosp,atual,2018-01-15,2025-02-07,https://www.imprensaoficialmunicipal.com.br/dolcinopolis
3514304,SP,Dourado,dosp,atual,2017-10-17,2025-02-07,https://www.imprensaoficialmunicipal.com.br/dourado
