territory_id,state,city,pattern,status,date_from,date_to,url
1100809,RO,Candeias do Jamari,instar,atual,2017-02-08,2025-02-07,https://www.candeias.mg.gov.br/portal/diario-oficial
2906501,BA,Candeias,instar,atual,2017-02-08,2025-02-07,https://www.candeias.mg.gov.br/portal/diario-oficial
3106705,MG,Betim,instar,atual,2008-01-11,2025-02-07,https://www.betim.mg.gov.br/portal/diario-oficial
3111200,MG,Campo Belo,instar,atual,2016-01-05,2025-02-07,https://www.campobelo.mg.gov.br/portal/diario-oficial
3112000,MG,Candeias,instar,atual,2017-02-08,2025-02-07,https://www.candeias.mg.gov.br/portal/diario-oficial
3113909,MG,Carmo da Cachoeira,instar,atual,Edição com data ausente,2025-02-07,https://www.carmodacachoeira.mg.gov.br/portal/diario-oficial
3114402,MG,Carmo do Rio Claro,instar,descontinuado,2021-05-14,2024-12-20,https://www.carmodorioclaro.mg.gov.br/portal/diario-oficial
3118601,MG,Contagem,instar,atual,Edição com data ausente,2025-02-07,https://portal.contagem.mg.gov.br/portal/diario-oficial
3120607,MG,Crucilândia,instar,atual,2015-03-31,2025-02-07,http://www.prefeituradecrucilandia.mg.gov.br/portal/diario-oficial
3129707,MG,Ibiraci,instar,atual,2024-07-15,2025-02-07,https://www.ibiraci.mg.gov.br/portal/diario-oficial
3133808,MG,Itaúna,instar,atual,Edição com data ausente,2025-02-07,https://www.itauna.mg.gov.br/portal/diario-oficial
3135209,MG,Januária,instar,atual,2022-04-29,2025-02-07,https://www.januaria.mg.gov.br/portal/diario-oficial
3136652,MG,Juatuba,instar,atual,2016-01-05,2025-02-07,https://www.juatuba.mg.gov.br/portal/diario-oficial
3145208,MG,Nova Serrana,instar,atual,Edição com data ausente,2025-02-07,https://www.novaserrana.mg.gov.br/portal/diario-oficial
3148004,MG,Patos de Minas,instar,atual,2019-10-22,2025-02-07,https://www.patosdeminas.mg.gov.br/portal/diario-oficial
3151008,MG,Piranguinho,instar,atual,2018-07-30,2025-02-08,https://www.piranguinho.mg.gov.br/portal/diario-oficial
3157005,MG,Salinas,instar,atual,2017-02-01,2025-01-24,https://www.salinas.mg.gov.br/portal/diario-oficial
3157377,MG,Santa Cruz de Salinas,instar,atual,2017-02-01,2025-01-24,https://www.salinas.mg.gov.br/portal/diario-oficial
3168002,MG,Taiobeiras,instar,atual,2022-12-31,2025-02-08,https://www.taiobeiras.mg.gov.br/portal/diario-oficial
